Functional module	KEGG KO ID	Annotation	Reference
Nitrogen metabolism	K02569	napC; cytochrome c-type protein NapC	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K00368	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K01428	ureC; urease subunit alpha [EC:3.5.1.5]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K04747	norF; nitric oxide reductase NorF protein	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K04748	norQ; nitric oxide reductase NorQ protein	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K02570	napD; periplasmic nitrate reductase NapD	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K02573	napG; ferredoxin-type protein NapG	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K02572	napF; ferredoxin-type protein NapF	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K02575	narK, narU, nasA; MFS transporter, NNP family, nitrate/nitrite transporter	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K02595	nifW; nitrogenase-stabilizing/protective protein	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K02567	napA; periplasmic nitrate reductase NapA [EC:1.7.99.4]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K02164	norE; nitric oxide reductase NorE protein	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K02305	norC; nitric oxide reductase subunit C	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K01430	ureA; urease subunit gamma [EC:3.5.1.5]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K01420	ntcA, fnr; CRP/FNR family transcriptional regulator, anaerobic regulatory protein	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K02598	nirC; nitrite transporter NirC	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K07218	nosD; nitrous oxidase accessory protein	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K15864	nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K00531	anfG; nitrogenase [EC:1.18.6.1]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K00376	nosZ; nitrous-oxide reductase [EC:1.7.2.4]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K02448	norD; nitric oxide reductase NorD protein	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K02591	nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K03320	amt, TC.AMT; ammonium transporter, Amt family	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K00672	ftr; formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K00363	nirD; nitrite reductase (NAD(P)H) small subunit [EC:1.7.1.4]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K10946	amoC; ammonia monooxygenase subunit C	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K10945	amoB; ammonia monooxygenase subunit B	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K10944	amoA; ammonia monooxygenase subunit A [EC:1.14.99.39]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K02588	nifH; nitrogenase iron protein NifH [EC:1.18.6.1]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K15579	nrtD, cynD; nitrate/nitrite transport system ATP-binding protein	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K15578	nrtC, nasD; nitrate/nitrite transport system ATP-binding protein [EC:3.6.3.-]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K02574	napH; ferredoxin-type protein NapH	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K10535	hao; hydroxylamine oxidase [EC:1.7.3.4]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K00366	nirA; ferredoxin-nitrite reductase [EC:1.7.7.1]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K00367	narB; ferredoxin-nitrate reductase [EC:1.7.7.2]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K15577	nrtB, nasE, cynB; nitrate/nitrite transport system permease protein	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K15576	nrtA, nasF, cynA; nitrate/nitrite transport system substrate-binding protein	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K00362	nirB; nitrite reductase (NAD(P)H) large subunit [EC:1.7.1.4]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K00370	narG; nitrate reductase 1, alpha subunit [EC:1.7.99.4]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K02586	nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Nitrogen metabolism	K04561	norB; nitric oxide reductase subunit B [EC:1.7.2.5]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Oxygenic photosynthesis	K05376	cpeA, mpeA; phycoerythrin alpha chain	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Oxygenic photosynthesis	K02689	psaA; photosystem I P700 chlorophyll a apoprotein A1	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Oxygenic photosynthesis	K02108	ATPF0A, atpB; F-type H+-transporting ATPase subunit a [EC:3.6.3.14]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Oxygenic photosynthesis	K02097	apcF; phycobilisome core component	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Oxygenic photosynthesis	K02092	apcA; allophycocyanin alpha subunit	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Oxygenic photosynthesis	K08918	pcbA; chlorophyll a/b binding light-harvesting protein PcbA	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Oxygenic photosynthesis	K08907	LHCA1; light-harvesting complex I chlorophyll a/b binding protein 1	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Oxygenic photosynthesis	K08912	LHCB1; light-harvesting complex II chlorophyll a/b binding protein 1	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Oxygenic photosynthesis	K05383	cpeT; CpeT protein	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Oxygenic photosynthesis	K02703	psbA; photosystem II P680 reaction center D1 protein	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Oxygenic photosynthesis	K02284	cpcA; phycocyanin alpha chain	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Oxygenic photosynthesis	K02636	petC; cytochrome b6-f complex iron-sulfur subunit [EC:1.10.9.1]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Oxygenic photosynthesis	K02641	petH; ferredoxin--NADP+ reductase [EC:1.18.1.2]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Oxygenic photosynthesis	K02628	pecA; phycoerythrocyanin alpha chain	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Oxygenic photosynthesis	K02638	petE; plastocyanin	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Phosphorus metabolism	K02038	pstA; phosphate transport system permease protein	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Phosphorus metabolism	K05306	phnX; phosphonoacetaldehyde hydrolase [EC:3.11.1.1]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Phosphorus metabolism	K06163	phnJ; PhnJ protein	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Phosphorus metabolism	K07636	phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Phosphorus metabolism	K01113	phoD; alkaline phosphatase D [EC:3.1.3.1]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Phosphorus metabolism	K01077	E3.1.3.1, phoA, phoB; alkaline phosphatase [EC:3.1.3.1]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Phosphorus metabolism	K02037	pstC; phosphate transport system permease protein	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Phosphorus metabolism	K06162	phnM; PhnM protein	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Phosphorus metabolism	K02040	pstS; phosphate transport system substrate-binding protein	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Phosphorus metabolism	K07093	phoX; K07093	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Phosphorus metabolism	K02042	phnE; phosphonate transport system permease protein	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Phosphorus metabolism	K06166	phnG; PhnG protein	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Phosphorus metabolism	K02044	phnD; phosphonate transport system substrate-binding protein	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Phosphorus metabolism	K06164	phnI; PhnI protein	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Phosphorus metabolism	K06165	phnH; PhnH protein	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Phosphorus metabolism	K00937	ppk; polyphosphate kinase [EC:2.7.4.1]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Phosphorus metabolism	K05774	phnN; ribose 1,5-bisphosphokinase [EC:2.7.4.23]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Phosphorus metabolism	K03430	phnW; 2-aminoethylphosphonate-pyruvate transaminase [EC:2.6.1.37]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Phosphorus metabolism	K04750	phnB; PhnB protein	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Rhodopsins	K04641	bop; bacteriorhodopsin	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Rhodopsins	K04643	SOP; sensory rhodopsin	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Rhodopsins	K04642	HOP; halorhodopsin	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Sulfur metabolism	K10150	cysO; cysteine synthase / O-phosphoserine sulfhydrylase / spermine synthase [EC:2.5.1.47 2.5.1.65 4.2.1.22]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Sulfur metabolism	K00605	dmdA, gcvT, AMT; aminomethyltransferase [EC:2.1.2.10]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Sulfur metabolism	K00955	cysNC; bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Sulfur metabolism	K00957	cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Sulfur metabolism	K00392	sir; sulfite reductase (ferredoxin) [EC:1.8.7.1]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Sulfur metabolism	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Sulfur metabolism	K02045	cysA; sulfate transport system ATP-binding protein [EC:3.6.3.25]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Sulfur metabolism	K00395	aprB; adenylylsulfate reductase, subunit B [EC:1.8.99.2]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Sulfur metabolism	K02046	cysU; sulfate transport system permease protein	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Sulfur metabolism	K02048	cysP, sbp; sulfate transport system substrate-binding protein	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Sulfur metabolism	K02047	cysW; sulfate transport system permease protein	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Sulfur metabolism	K00394	aprA; adenylylsulfate reductase, subunit A [EC:1.8.99.2]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Sulfur metabolism	K13811	PAPSS; 3p-phosphoadenosine 5p-phosphosulfate synthase [EC:2.7.7.4 2.7.1.25]	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Sulfur metabolism	K07307	dmsB; anaerobic dimethyl sulfoxide reductase subunit B (DMSO reductase iron- sulfur subunit)	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
Sulfur metabolism	K07306	dmsA; anaerobic dimethyl sulfoxide reductase subunit A	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
